barcode	guide	type	target
Brainbar001	NC-1	NC	negative_control
Brainbar002	e-GATA1-1	e-GATA1	e-GATA1
Brainbar003	NC-2	NC	negative_control
Brainbar004	e-GATA1-2	e-GATA1	e-GATA1
Brainbar005	e-HDAC6-1	e-HDAC6	e-HDAC6
Brainbar007	e-HDAC6-2	e-HDAC6	e-HDAC6
Brainbar008	HDAC6-TSS-1	HDAC6-TSS	HDAC6-TSS
SplintRbar001	GATA1-TSS-1	GATA1-TSS	GATA1-TSS
SplintRbar002	NC-5	NC	negative_control
SplintRbar4	GATA1-TSS-2	GATA1-TSS	GATA1-TSS
SplintRbar23	NC-4	NC	negative_control
SplintRbar26	NC-6	NC	negative_control
SplintRbar27	NC-7	NC	negative_control
SplintRbar28	NC-8	NC	negative_control
SplintRbar30	NC-9	NC	negative_control
SplintRbar5	HDAC6-TSS-2	HDAC6-TSS	HDAC6-TSS
